160	0xc1bf8f2acc5d5824974ce4c90a8438421150f753		92,742.1396769 Ether	0.07875097%	64
161	0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4		92,500.11439622 Ether	0.07854546%	3
162	0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82		91,851.42590191 Ether	0.07799463%	10
163	0x282edab8a933bc1c02649fe3ea2842ecbe9928a7		89,506.11659497 Ether	0.07600314%	53
164	0x742d35cc6634c0532925a3b844bc454e4438f44e	Bitfinex 2	89,331.26668445 Ether	0.07585467%	13,265
165	0xcb9225bb407bc585ffbb863dc924aad07c97af2c		88,900.01 Ether	0.07548847%	48
166	0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c		88,557.10429568 Ether	0.07519730%	3
167	0xe4f4866437513e7e023fb3933ba43045312b7459		86,484.61667426 Ether	0.07343747%	8
168	0x1bb762b16438f8b287626fd1042bc6f6848cc286		86,481.01573915 Ether	0.07343441%	1
169	0x7e6ea81a68a2af50f64a37b3d6e50b1abb796da8		86,426.67206825 Ether	0.07338826%	66
170	0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f		84,999.995411 Ether	0.07217682%	4
171	0x7f3a1e45f67e92c880e573b43379d71ee089db54		84,993.77420403 Ether	0.07217153%	103
172	0xb3764761e297d6f121e79c32a65829cd1ddb4d32	Multisig Exploit Hacker	83,017.19173209 Ether	0.07049314%	37
173	0xb46427e2cddecb0bde40bf402361effddd4401e2		81,444.25824274 Ether	0.06915750%	3
174	0xca55ee614ddb9f079a109d709a14b88097e3a2ba		80,928.80445982 Ether	0.06871981%	360
175	0x37e3bc492735d3d84f2b126cffaf4f0a95bff049		80,645.72167203 Ether	0.06847943%	4
176	0x1085b9c6e43895cc441ba1840b940ef786683785		80,000.13895 Ether	0.06793124%	4
177	0x677f887fae0873bcf7e800f77bc7643063c7dece		80,000.13895 Ether	0.06793124%	4
178	0x28973c01a23a002e8c40dc123858fd2122e50f87		80,000.13895 Ether	0.06793124%	4
179	0x583197dccce7e295525acfa016eabe1b25becbc6		80,000.13895 Ether	0.06793124%	4
180	0x46fde20dfde85c8c169e8823b6f615146674103e		80,000.13895 Ether	0.06793124%	4
181	0x7d783603bd1caed3cdb8e734a50fb35df1f1da7a		80,000.13895 Ether	0.06793124%	4
182	0x58c1655ee5c109bf69715411dc32338e40a54c46		80,000.12895 Ether	0.06793123%	4
183	0x385dc986ac6dfaefe851ac95d3650e0baafef3ac		80,000.12895 Ether	0.06793123%	4
184	0x67586e3526bbe9f3e19d76bb41f1de0a774b50b4		80,000.12895 Ether	0.06793123%	4
185	0x79f67f689b9925710d4dda2a39d680e9cea61c81		80,000 Ether	0.06793112%	42
186	0x72a53cdbbcc1b9efa39c834a540550e23463aacb		79,901.69977594 Ether	0.06784765%	1,095
187	0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042		79,832.05971527 Ether	0.06778852%	45
188	0xd2b0b1daed605718080f861034d3241f1cfd89cb		79,122.43020715 Ether	0.06718595%	1
189	0x368d43c23843ca9b49dc861d80251bda6a090367		78,428.41785759 Ether	0.06659663%	49
190	0x27e9f4748a2eb776be193a1f7dec2bb6daafe9cf		77,824.23789406 Ether	0.06608360%	364,502
191	0xfdfeb7474b6b104f32599948bb7f8ed81b06def3		77,735.85085577 Ether	0.06600855%	2
192	0xcfee6efec3471874022e205f4894733c42cbbf64		77,500 Ether	0.06580828%	10
193	0xbce4e85eb1a8e587db257a65da7703780db7bca4		77,277.00297 Ether	0.06561892%	2
